Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
January,10151042648.58793,1882057093.451702,920159268.0515386,8268985555.136226,20527774305.82999,20527774305.82999,,,,,,,1
February,8583051529.922208,1661267806.533688,804413816.522958,6921783723.388513,16635507214.050253,16635507214.050253,,,,,,,1
March,8778034249.550169,1753432608.021211,851190001.948971,7024601641.52898,12618165629.09993,12618165629.09993,,,,,,,1
April,5782986575.212948,1685157244.3593917,881577450.8753501,4097829330.853563,5346483234.943016,5346483234.943016,,,,,,,1
May,4118847886.9017262,1662540131.6052856,920159268.0515214,2456307755.296454,1814343654.5838072,1814343654.5838072,,,,,,,1
June,3376405292.5895247,1403165453.3498957,812608184.7727822,1973239839.239663,318585908.17005444,318585908.17005444,,,,,,,1
July,3758941442.849482,1507232041.018149,920159268.0515386,2251709401.831378,72356520.0418705,72356520.0418705,,,,,,,1
August,3463958991.270506,1488581206.805677,885674635.0002452,1975377784.4648547,124004101.30288105,124004101.30288105,,,,,,,1
September,3362407159.182663,1483812949.894092,847092817.8240662,1878594209.2885633,333347127.05192405,333347127.05192405,,,,,,,1
October,4767541391.294534,1710468954.0865464,920159268.0515386,3057072437.2079782,3199728073.8636947,3199728073.8636947,,,,,,,1
November,7442607630.28246,1689007293.509029,847092817.8240588,5753600336.773428,10742113191.696978,10742113191.696978,,,,,,,1
December,9103095709.129168,1780606166.9922645,885674635.0002546,7322489542.136935,13156166218.454435,13156166218.454435,72688920506.77263,19707328949.62597,10495961431.971228,52981591557.14689,84888575179.08922,84888575179.08922,1
July,118243285.4895241,63324277.55316904,38581817.176184714,54919007.93635507,6452848.252656173,6452848.252656173,118243285.4895241,63324277.55316904,38581817.176184714,54919007.93635507,6452848.252656173,6452848.252656173,1
January,9213674558.213827,1831537479.8109615,874422855.4878013,7382137078.40291,16766052744.573812,16766052744.573812,,,,,,,2
February,7642386058.611812,1616035000.2623289,764430518.5637366,6026351058.34949,13686538212.26498,13686538212.26498,,,,,,,2
March,7592924293.891133,1704313919.6455786,808881698.9725646,5888610374.245557,10249111826.587856,10249111826.587856,,,,,,,2
April,4518454405.441093,1634430479.1524231,837758743.1797653,2884023926.2886744,4237341601.9441786,4237341601.9441786,,,,,,,2
May,3267630875.6215725,1609628977.9902327,874422855.4878054,1658001897.631309,1086130140.1796863,1086130140.1796863,,,,,,,2
June,3012052928.520461,1355872167.1931136,772217586.6645429,1656180761.3272965,68406687.45415935,68406687.45415935,,,,,,,2
July,3806737689.7002864,1451848306.97367,874422855.4877862,2354889382.726544,3352416.651661479,3352416.651661479,,,,,,,2
August,3364259216.271334,1430033211.5513828,841652277.2301848,1934226004.7199051,17103839.38397256,17103839.38397256,,,,,,,2
September,2756347586.496264,1432307349.0687983,804988164.9221551,1324040237.4274542,88511918.83238044,88511918.83238044,,,,,,,2
October,3578955005.793675,1660368328.6134164,874422855.4878013,1918586677.1802647,2320810989.474128,2320810989.474128,,,,,,,2
November,6301748457.479802,1641012335.2619736,804988164.922161,4660736122.217847,8608135833.130013,8608135833.130013,,,,,,,2
December,8029574761.1894,1731098831.2292993,841652277.230176,6298475929.960122,10454000736.695108,10454000736.695108,63084745837.23217,19098486386.75423,9974260853.638573,43986259450.47753,67585496947.17232,67585496947.17232,2
July,112819300.71752776,61082853.635368854,36664112.30802457,51736447.0821589,0.0,0.0,112819300.71752776,61082853.635368854,36664112.30802457,51736447.0821589,0.0,0.0,2
