Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
January,9006574480.292078,1744085100.549511,836481253.3609754,7262489379.742615,16475791363.19335,16475791363.19335,,,,,,,3
February,7569991438.819665,1583325788.2261052,759733937.1312232,5986665650.593539,13089512988.706858,13089512988.706858,,,,,,,3
March,7581517307.768796,1769054784.180045,869050492.6013024,5812462523.588755,9809540048.49682,9809540048.49682,,,,,,,3
April,4519107048.8469095,1507799381.9915671,767473162.2972649,3011307666.8553305,4195656756.8302674,4195656756.8302674,,,,,,,3
May,3173454949.647517,1587481024.6398387,869050492.6013238,1585973925.0076573,1084243912.2767372,1084243912.2767372,,,,,,,3
June,2962626919.7754025,1440429785.9181244,832611640.777948,1522197133.8572533,82041620.29654634,82041620.29654634,,,,,,,3
July,3386283289.9013104,1347284859.8749473,803912014.1206247,2038998430.0263548,9150962.769485325,9150962.769485325,,,,,,,3
August,3169789110.293692,1475743644.0944924,869050492.6013067,1694045466.199199,21873667.81653897,21873667.81653897,,,,,,,3
September,2632770541.6519184,1417838718.112141,800042401.537607,1214931823.5397806,95805421.76402538,95805421.76402538,,,,,,,3
October,3581731564.338694,1578854725.1819825,836481253.3609754,2002876839.1567235,2357527819.8615856,2357527819.8615856,,,,,,,3
November,6364070096.718592,1656587427.6903343,832611640.7779427,4707482669.028241,8296993364.099131,8296993364.099131,,,,,,,3
December,7836850574.682571,1646223047.5739706,803912014.1206243,6190627527.108597,10189112798.422125,10189112798.422125,61784767322.73672,18754708288.03556,9880410795.298351,43030059034.70436,65707250724.53326,65707250724.53326,3
January,9005431717.311731,1828682680.048233,852181117.28762,7176749037.263445,14003135922.937284,14003135922.937284,,,,,,,4
February,7464647504.245445,1659983520.0089357,773993335.5164505,5804663984.236475,11367281380.286634,11367281380.286634,,,,,,,4
March,7419766217.709915,1854785609.4767315,885361646.5266634,5564980608.233192,8144824857.21208,8144824857.21208,,,,,,,4
April,4336818092.6104765,1566950844.0842168,781877817.7118516,2769867248.526273,3406088440.622155,3406088440.622155,,,,,,,4
May,3347281925.309503,1639196081.4439278,885361646.5266546,1708085843.865573,731765485.6131929,731765485.6131929,,,,,,,4
June,3377001967.531429,1477615638.324021,848238876.1899258,1899386329.207408,30174157.441800494,30174157.441800494,,,,,,,4
July,3939031523.2224574,1361530323.506555,819000588.0485892,2577501199.7158995,0.0,0.0,,,,,,,4
August,3674690548.558808,1494882978.927516,885361646.5266557,2179807569.6312623,9327043.697714502,9327043.697714502,,,,,,,4
September,2938558763.035352,1454882547.7352147,815058346.9508883,1483676215.3001387,48642468.45838286,48642468.45838286,,,,,,,4
October,3576483753.499812,1644993720.485436,852181117.28762,1931490033.014372,1699334010.138716,1699334010.138716,,,,,,,4
November,6176041724.029744,1735208015.2569425,848238876.1899258,4440833708.772795,6935030458.718073,6935030458.718073,,,,,,,4
December,7646258315.340234,1724034723.885313,819000588.0485884,5922223591.454935,8645753067.613173,8645753067.613173,62902012052.403496,19442746683.184486,10065855602.816307,43459265369.22178,55021357292.73988,55021357292.73988,4
January,7571999931.625708,1892991155.5520625,1006064764.4139452,5679008776.073637,12676902252.44333,12676902252.44333,,,,,,,10
February,6159510165.470116,1718433139.6182768,913758128.3574595,4441077025.851826,10547747640.836636,10547747640.836636,,,,,,,10
March,6053808107.57645,1927462278.811844,1045236908.2866552,4126345828.7645946,7688808411.141314,7688808411.141314,,,,,,,10
April,3821664568.3585744,1640688958.1712863,923066360.5648372,2180975610.187275,2872071099.922337,2872071099.922337,,,,,,,10
May,3220990864.9793725,1744520636.4069693,1045236908.2866552,1476470228.5723844,542760758.9704839,542760758.9704839,,,,,,,10
June,3457701149.6916795,1592098414.392135,1001410648.3102564,1865602735.2995136,23815842.39834993,23815842.39834993,,,,,,,10
July,4074584157.302073,1480159564.8507085,966892620.5412356,2594424592.4513392,0.0,0.0,,,,,,,10
August,3799009103.563973,1621169468.9829066,1045236908.2866552,2177839634.581042,2567962.571560388,2567962.571560388,,,,,,,10
September,2987075942.168215,1559608573.046747,962238504.4375596,1427467369.1214623,32307205.356235005,32307205.356235005,,,,,,,10
October,3233482612.798557,1735336958.3627453,1006064764.4139452,1498145654.4358127,1428767931.1827984,1428767931.1827984,,,,,,,10
November,5164710454.646421,1810061547.942428,1001410648.3102566,3354648906.7039804,6175386327.062499,6175386327.062499,,,,,,,10
December,6301147198.913779,1789393436.531165,966892620.5412432,4511753762.38262,7950891579.28882,7950891579.28882,55845684257.09505,20511924132.67446,11883509784.75653,35333760124.4253,49942027011.17419,49942027011.17419,10
January,8431589114.132997,1878032797.0204132,908591421.0923548,6553556317.112577,15952983924.980606,15952983924.980606,,,,,,,17
February,6984085660.707411,1704804544.2905605,825227983.073867,5279281116.416833,12980205972.862837,12980205972.862837,,,,,,,17
March,6945909572.018888,1906864756.7527556,943968342.2682744,5039044815.2661495,9379982333.741222,9379982333.741222,,,,,,,17
April,4068261823.633248,1625906940.6182387,833634380.184967,2442354883.015004,3797043210.222983,3797043210.222983,,,,,,,17
May,3052887605.832179,1724262302.9758894,943968342.2682692,1328625302.8562844,767911811.4747831,767911811.4747831,,,,,,,17
June,3076382349.516818,1571511650.950359,904388222.5368092,1504870698.5664628,36882145.535212085,36882145.535212085,,,,,,,17
July,3630248008.2652426,1469801847.0769594,873214499.9164362,2160446161.188291,0.0,0.0,,,,,,,17
August,3366184450.080011,1611082599.259034,943968342.2682692,1755101850.8209724,3330403.7068519345,3330403.7068519345,,,,,,,17
September,2654928674.0764937,1542988432.8896935,869011301.3608893,1111940241.186803,42804954.36735539,42804954.36735539,,,,,,,17
October,3314715848.11673,1709343693.823763,908591421.0923548,1605372154.2929635,1908103280.596444,1908103280.596444,,,,,,,17
November,5811541188.462873,1786087402.0787184,904388222.5368052,4025453786.3841534,7767158122.269066,7767158122.269066,,,,,,,17
December,7185627150.469206,1771886637.214548,873214499.916437,5413740513.254654,9749844990.977488,9749844990.977488,58522361445.31238,20302573604.95273,10732166978.516537,38219787840.36074,62386251150.73486,62386251150.73486,17
January,8407230205.306363,1894160416.3153436,929032213.7189876,6513069788.991036,15481829328.817116,15481829328.817116,,,,,,,22
February,6972169158.009503,1719647407.0939796,843793329.0369728,5252521750.915538,12281027815.540134,12281027815.540134,,,,,,,22
March,6851801260.0679655,1922456840.6824749,965205017.7226936,4929344419.385517,8954388412.00546,8954388412.00546,,,,,,,22
April,4034554855.953149,1636317287.6183665,852388846.8200365,2398237568.334794,3561665881.753175,3561665881.753175,,,,,,,22
