Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep) 
 01/21  00:10:00,22.656776111932196,6685281.412365239,0.0,22.76,28.44,0.6334791591222075,0.0,0.0,0.0,0.0,-1.6158021838415797,0.0,0.0,0.0,0.0,0.0,4878566.013474655,1787476.9481263564,1.0,1.0,2.0 
 01/21  00:20:00,22.752861870234877,6017999.778650553,0.0,22.76,28.44,0.6015396413656231,0.0,0.0,0.0,0.0,-1.603311346548606,0.0,0.0,0.0,0.0,0.0,4862343.336580907,881303.7005060334,1.0,1.0,2.0 
 01/21  00:30:00,21.741222768189285,4613568.951354549,0.0,21.426666666666687,28.44000000000002,0.5774243514037206,0.0,0.0,0.0,0.0,-1.5961083587365155,0.0,0.0,0.0,0.0,0.0,1960187.7740303986,2574978.5586456265,0.45782327901576303,0.26001579040588857,0.833333333333334 
 01/21  00:40:00,22.657529083554287,6736728.830715708,0.0,22.76,28.44,0.5525894225278262,0.0,0.0,0.0,0.0,-1.5905820897662544,0.0,0.0,0.0,0.0,0.0,4831084.235087386,1884992.859352828,1.0,1.0,2.0 
 01/21  00:50:00,22.752933174812686,6076995.75851139,0.0,22.76,28.44,0.5236157204756685,0.0,0.0,0.0,0.0,-1.5862755989893533,0.0,0.0,0.0,0.0,0.0,4814866.963154011,987675.9948373786,1.0,1.0,2.0 
 01/21  01:00:00,21.73507341699399,4671584.543909232,0.0,21.426666666666634,28.439999999999966,0.5010293764499678,0.0,0.0,0.0,0.0,-1.5847712377054548,0.0,0.0,0.0,0.0,0.0,2003782.1840427232,2583412.211871834,0.4643062336427902,0.29101102114590605,0.8333333333333321 
 01/21  01:10:00,22.6570898100008,6784417.004704565,0.0,22.76,28.44,0.4773035401130591,0.0,0.0,0.0,0.0,-1.585294311077904,0.0,0.0,0.0,0.0,0.0,4799432.339458657,1966003.1036880764,1.0,1.0,2.0 
 01/21  01:20:00,22.75291803602258,6103438.294721204,0.0,22.76,28.44,0.44915095554472867,0.0,0.0,0.0,0.0,-1.5893309855317161,0.0,0.0,0.0,0.0,0.0,4799044.813836186,1029982.6091117404,1.0,1.0,2.0 
 01/21  01:30:00,21.733077022390372,4689425.749393249,0.0,21.426666666666687,28.44000000000002,0.4268574244951894,0.0,0.0,0.0,0.0,-1.596770900158941,0.0,0.0,0.0,0.0,0.0,2019959.389901918,2583705.938684294,0.46594873805972087,0.2990734857502307,0.833333333333334 
 01/21  01:40:00,22.65700603004759,6803931.350942276,0.0,22.76,28.44,0.4030757691793549,0.0,0.0,0.0,0.0,-1.6078067053610416,0.0,0.0,0.0,0.0,0.0,4799431.313383941,1986084.403077087,1.0,1.0,2.0 
