Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) 
January,12557634174.523853,4732546317.080248,2245067184.6601024,7825087857.4435215,3993572081.5815325,3993572081.5815325 
February,11217801198.12265,4148709975.8305364,1962663557.3503537,7069091222.292067,5740573289.895708,5740573289.895708 
March,11523759170.379925,4375014972.054107,2076791276.9416013,7148744198.325693,2750350045.9182506,2750350045.9182506 
April,10961722908.294672,4437666235.442594,2150932642.223532,6524056672.851997,780269753.6056229,780269753.6056229 
May,11233029478.630554,4570017536.724953,2245067184.6601024,6663011941.905558,112913783.45742822,112913783.45742822 
June,10283019805.107853,3973703239.3396335,1982656734.5050352,6309316565.76813,7825352.802985145,7825352.802985145 
July,11904004459.062407,4472627143.086844,2245067184.6601024,7431377315.975491,0.0,0.0 
August,11389404012.602654,4312702254.149563,2160929230.8008547,7076701758.452983,1516635.4804838952,1516635.4804838952 
September,10397621147.494984,4165235018.604797,2066794688.3642828,6232386128.890125,15439732.084869733,15439732.084869733 
October,11044852987.924494,4602195423.824098,2245067184.6601024,6442657564.100335,110237190.09355125,110237190.09355125 
November,10988380536.923468,4308736179.512414,2066794688.3642697,6679644357.41099,2023913942.9976058,2023913942.9976058 
December,11628712948.93385,4519298240.029345,2160929230.8008676,7109414708.904428,2768995002.7584977,2768995002.7584977,135129942828.00172,52618452535.67921,25608760787.9833,82511490292.35258,18305606810.67652,18305606810.67652 
July,476497452.4575567,189395021.12320697,94134542.43658465,287102431.3343494,0.0,0.0,476497452.4575567,189395021.12320697,94134542.43658465,287102431.3343494,0.0,0.0 
