Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  00:10:00,22.701673423297798,5716442.209506121,0.0,22.743333333333332,32.26,-0.40415102005746795,0.0,0.0,0.0,0.0,-1.3787291795810914,0.0,0.0,0.0,0.0,0.0,3433277.0823189747,2249007.0703453994,0.7198020412478422,0.6666666666666666,1.6666666666666665 
 01/21  00:20:00,22.937225590203006,6892483.56261452,0.0,23.41,32.26,-0.4140530865144348,0.0,0.0,0.0,0.0,-1.359247224356002,0.0,0.0,0.0,0.0,0.0,4854220.20798641,2581403.01032522,1.0,1.0,2.0 
 01/21  00:30:00,23.36485809889379,7945900.209234725,0.0,23.41,32.26,-0.42383958494318447,0.0,0.0,0.0,0.0,-1.3562352937196303,0.0,0.0,0.0,0.0,0.0,4837224.6029445585,2973620.103620856,1.0,1.0,2.0 
 01/21  00:40:00,22.311932236141242,5747765.715452012,0.0,22.07666666666665,32.25999999999998,-0.43352766775787616,0.0,0.0,0.0,0.0,-1.3685639162716268,0.0,0.0,0.0,0.0,0.0,2582108.8721011938,3068238.8112986274,0.5490679779538912,0.49999999999999967,1.1666666666666659 
 01/21  00:50:00,22.699079861805103,5530781.835548453,0.0,22.74333333333335,32.26000000000002,-0.444873113891476,0.0,0.0,0.0,0.0,-1.3917545813070307,0.0,0.0,0.0,0.0,0.0,3339318.8755018255,2169777.594797531,0.7057488350520021,0.6666666666666672,1.6666666666666679 
 01/21  01:00:00,22.933538503614557,6733682.939299794,0.0,23.41,32.26,-0.4597619270901045,0.0,0.0,0.0,0.0,-1.4302100443610144,0.0,0.0,0.0,0.0,0.0,4790013.826551972,2490259.6826356114,1.0,1.0,2.0 
 01/21  01:10:00,23.364439742943667,7849053.018263981,0.0,23.41,32.26,-0.47402648578060813,0.0,0.0,0.0,0.0,-1.4701377538883247,0.0,0.0,0.0,0.0,0.0,4789101.398901144,2925884.2930693626,1.0,1.0,2.0 
 01/21  01:20:00,22.3133719781015,5720411.484105109,0.0,22.076666666666664,32.26,-0.48700401153322737,0.0,0.0,0.0,0.0,-1.5023231701327822,0.0,0.0,0.0,0.0,0.0,2561317.2313368577,3061168.0471220417,0.5480250247665902,0.5,1.1666666666666665 
 01/21  01:30:00,22.70003306764791,5577032.085059468,0.0,22.743333333333325,32.259999999999984,-0.5008895041258676,0.0,0.0,0.0,0.0,-1.5294688589884542,0.0,0.0,0.0,0.0,0.0,3340825.4407944907,2210352.8101968253,0.7094126929100014,0.6666666666666664,1.666666666666666 
 01/21  01:40:00,22.93541693750908,6854400.638932926,0.0,23.409999999999993,32.259999999999984,-0.5172388815807955,0.0,0.0,0.0,0.0,-1.5525597255445203,0.0,0.0,0.0,0.0,0.0,4790019.563596673,2610761.0873763957,0.9999999999999997,0.9999999999999997,1.9999999999999993 
