Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  00:10:00,-0.5551082832711811,37979124.37286951,0.0,19.480169677691066,28.57848820028915,-0.9416511580829878,0.0,0.0,0.0,0.0,-1.9685470722442642,0.0,0.0,0.0,0.0,0.0,4839743.985079642,32881667.718427867,1.0,1.0,2.0 
 01/21  00:20:00,-0.5551565413663845,37980763.13300591,0.0,19.480169677691066,28.57848820028915,-0.9500269483956797,0.0,0.0,0.0,0.0,-1.9504283046857123,0.0,0.0,0.0,0.0,0.0,4823801.676011795,32898044.050459158,1.0,1.0,2.0 
 01/21  00:30:00,-0.555317211873093,37982512.82821012,0.0,19.480169677691066,28.57848820028915,-0.9596330820591827,0.0,0.0,0.0,0.0,-1.9473422887201894,0.0,0.0,0.0,0.0,0.0,4807858.162905219,32915676.741911788,1.0,1.0,2.0 
 01/21  00:40:00,-0.5554528320009526,37984231.54403942,0.0,19.480169677691066,28.57848820028915,-0.9706743347329652,0.0,0.0,0.0,0.0,-1.9601994665464628,0.0,0.0,0.0,0.0,0.0,4791913.445623512,32933353.65739637,1.0,1.0,2.0 
 01/21  00:50:00,-0.5555943361982841,37985956.67540552,0.0,19.480169677691066,28.57848820028915,-0.9833081877335688,0.0,0.0,0.0,0.0,-1.9873824758788512,0.0,0.0,0.0,0.0,0.0,4775967.524030241,32951021.53930118,1.0,1.0,2.0 
 01/21  01:00:00,-0.5557364733164376,37987682.718828164,0.0,19.480169677691066,28.57848820028915,-0.9977235632064276,0.0,0.0,0.0,0.0,-2.027358722598517,0.0,0.0,0.0,0.0,0.0,4760020.397988959,32968694.364688065,1.0,1.0,2.0 
 01/21  01:10:00,-0.5558699240303199,37989404.14648399,0.0,19.480169677691066,28.57848820028915,-1.0132408673097757,0.0,0.0,0.0,0.0,-2.0740877900233334,0.0,0.0,0.0,0.0,0.0,4760020.397988959,32970420.46604229,1.0,1.0,2.0 
 01/21  01:20:00,-0.5560233822193177,37989522.991069496,0.0,19.480169677691066,28.57848820028915,-1.0289204050930814,0.0,0.0,0.0,0.0,-2.116791358967845,0.0,0.0,0.0,0.0,0.0,4760020.397988959,32970528.53792218,1.0,1.0,2.0 
 01/21  01:30:00,-0.5561764807440828,37989591.28379786,0.0,19.480169677691066,28.57848820028915,-1.0442101094473062,0.0,0.0,0.0,0.0,-2.1482424568353937,0.0,0.0,0.0,0.0,0.0,4760020.397988958,32970597.02433546,1.0,1.0,2.0 
 01/21  01:40:00,-0.5563263896650557,37989675.48990396,0.0,19.480169677691066,28.57848820028915,-1.0587888909856917,0.0,0.0,0.0,0.0,-2.1676210979620674,0.0,0.0,0.0,0.0,0.0,4760020.397988958,32970682.947813835,1.0,1.0,2.0 
 01/21  01:50:00,-0.5564741230576293,37989755.40711026,0.0,19.480169677691066,28.57848820028915,-1.0725160460865457,0.0,0.0,0.0,0.0,-2.1777632248338774,0.0,0.0,0.0,0.0,0.0,4760020.397988958,32970764.036390115,1.0,1.0,2.0 
 01/21  02:00:00,-0.5566192343777465,37989833.47216477,0.0,19.480169677691066,28.57848820028915,-1.0853538346054352,0.0,0.0,0.0,0.0,-2.181816226421079,0.0,0.0,0.0,0.0,0.0,4760020.397988958,32970843.513248466,1.0,1.0,2.0 
 01/21  02:10:00,-0.4753780016474424,37946090.719942436,0.0,19.480169677691066,28.57848820028915,-1.0869186143556102,0.0,0.0,0.0,0.0,-2.1743552930869363,0.0,0.0,0.0,0.0,0.0,4762558.894114006,32968383.152170807,1.0,1.0,2.0 
 01/21  02:20:00,-0.39221808185457835,37902842.76764358,0.0,19.480169677691066,28.57848820028915,-1.075908765345473,0.0,0.0,0.0,0.0,-2.1494028217431396,0.0,0.0,0.0,0.0,0.0,4764988.4357309695,32923740.54283556,1.0,1.0,2.0 
 01/21  02:30:00,-0.30992389291157285,37860115.04983812,0.0,19.480169677691066,28.57848820028915,-1.0567408792181932,0.0,0.0,0.0,0.0,-2.1055058811990848,0.0,0.0,0.0,0.0,0.0,4767308.250738335,32878228.709084384,1.0,1.0,2.0 
 01/21  02:40:00,-0.22742233813995766,37817265.699099734,0.0,19.480169677691066,28.57848820028915,-1.0332142475553923,0.0,0.0,0.0,0.0,-2.0457917000726202,0.0,0.0,0.0,0.0,0.0,4769517.689516205,32833283.43185627,1.0,1.0,2.0 
 01/21  02:50:00,-0.14486742875998665,37774397.19570541,0.0,19.480169677691066,28.57848820028915,-1.0066430910805344,0.0,0.0,0.0,0.0,-1.9747427323103799,0.0,0.0,0.0,0.0,0.0,4771616.115684973,32788347.10146189,1.0,1.0,2.0 
 01/21  03:00:00,-0.06228241287440276,37731519.56684258,0.0,19.480169677691066,28.57848820028915,-0.9768368879206321,0.0,0.0,0.0,0.0,-1.895978812968543,0.0,0.0,0.0,0.0,0.0,4773602.736238396,32743500.94629853,1.0,1.0,2.0 
 01/21  03:10:00,-0.06105030698785302,37732462.43881851,0.0,19.480169677691066,28.57848820028915,-0.9541412171995249,0.0,0.0,0.0,0.0,-1.8197858332128143,0.0,0.0,0.0,0.0,0.0,4773428.982371633,32700805.597560477,1.0,1.0,2.0 
 01/21  03:20:00,-0.06171572570168561,37732893.81968274,0.0,19.480169677691066,28.57848820028915,-0.9414895590075593,0.0,0.0,0.0,0.0,-1.755199428928569,0.0,0.0,0.0,0.0,0.0,4773255.169447958,32700388.84942804,1.0,1.0,2.0 
 01/21  03:30:00,-0.06147610240177862,37732789.78978892,0.0,19.480169677691066,28.57848820028915,-0.9354703754605044,0.0,0.0,0.0,0.0,-1.7058274683508667,0.0,0.0,0.0,0.0,0.0,4773081.297437258,32700946.11695049,1.0,1.0,2.0 
 01/21  03:40:00,-0.06141090663191792,37732796.4927197,0.0,19.480169677691066,28.57848820028915,-0.9322390919369797,0.0,0.0,0.0,0.0,-1.6700180690308977,0.0,0.0,0.0,0.0,0.0,4772907.366309401,32701032.8101594,1.0,1.0,2.0 
 01/21  03:50:00,-0.06136727085413379,37732811.85987673,0.0,19.480169677691066,28.57848820028915,-0.9299914792758657,0.0,0.0,0.0,0.0,-1.6441036819306518,0.0,0.0,0.0,0.0,0.0,4772733.376034233,32701210.556105517,1.0,1.0,2.0 
 01/21  04:00:00,-0.06132085777846781,37732825.325132646,0.0,19.480169677691066,28.57848820028915,-0.928526002539322,0.0,0.0,0.0,0.0,-1.6250234160900106,0.0,0.0,0.0,0.0,0.0,4772559.326581573,32701399.566603392,1.0,1.0,2.0 
