Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) 
January,9825823800.376478,986773699.1454425,970200000.0,8839050101.230986,179181146878.43652,179181146878.43652 
February,9358948033.3643,862571912.3003895,848160000.0,8496376121.063895,158608130296.95547,158608130296.95547 
March,11014706137.143137,912612507.915407,897480000.0,10102093629.227654,163236405381.5449,163236405381.5449 
April,9718851763.04994,945373103.5304251,929520000.0,8773478659.519527,123452352046.93706,123452352046.93706 
May,9331407974.475163,987087891.0506486,970200000.0,8344320083.424567,98316297980.74162,98316297980.74162 
June,6756840712.497029,871298206.5933164,856800000.0,5885542505.903679,48098814525.815506,48098814525.815506 
July,5912024225.131183,987051390.5597799,970200000.0,4924972834.571347,23603453274.205013,23603453274.205013 
August,5574582229.75575,949971504.2917566,933840000.0,4624610725.463897,38171885659.76046,38171885659.76046 
September,7996991301.4601965,908292507.9154073,893160000.0,7088698793.544726,73915419054.55151,73915419054.55151 
October,10758739923.280392,986809593.3829395,970200000.0,9771930329.897451,130579957707.5892,130579957707.5892 
November,10592077494.883694,908292507.915407,893160000.0,9683784986.968292,149110580994.14877,149110580994.14877 
December,10438643723.91426,949693103.5304247,933840000.0,9488950620.383821,180034823038.7824,180034823038.7824,107279637319.33528,11255827928.129025,11066760000.0,96023809391.20511,1366309266839.469,1366309266839.469 
July,84246495.35345516,41400595.61502027,40680000.0,42845899.73843494,0.0,0.0,84246495.35345516,41400595.61502027,40680000.0,42845899.73843494,0.0,0.0 
